id,availability,condition,description,image_link,link,title,price,brand,mpn
sellsa-369,"in stock",new,"Get unique 786 numbers,&nbsp; a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
&nbsp;

	084 786 0385
	084 786 0458
	084 786 0462
	084 786 0645
	084 786 0754
	084 786 0769
	084 786 0829
	084 786 0906
	084 786 0935
	084 786 0956
	084 786 0972
	084 786 0975
	084 786 1442
	084 786 1518
	084 786 1629
	084 786 1643
	084 786 1747
	084 786 1833
	084 786 2078
	084 786 2241
	084 786 2322
	084 786 2481
	084 786 2490
	084 786 2564
	084 786 2729
	084 786 2734
	084 786 3051
	084 786 3134
	084 786 3185
	084 786 3286
	084 786 3289
	084 786 3613
	084 786 3979
	084 786 4024
	084 786 4038
	084 786 4048
	084 786 4213
	084 786 4246
	084 786 4426
	084 786 4661
	084 786 4725
	084 786 4766
	084 786 5071
	084 786 5084
	084 786 5094
	084 786 5229
	084 786 5266
	084 786 5374
	084 786 5508
	084 786 5594
	084 786 5609
	084 786 5715
	084 786 6051
	084 786 6357
	084 786 6409
	084 786 6518
	084 786 6532
	084 786 6578
	084 786 6725
	084 786 6820
	084 786 7039
	084 786 7134
	084 786 7138
	084 786 7153
	084 786 7157
	084 786 7173
	084 786 7219
	084 786 7249
	084 786 7290
	084 786 7309
	084 786 7438
	084 786 7513
	084 786 7518
	084 786 7528
	084 786 8361
&nbsp;
PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;
	

	",https://beta.sellsa.co.za/image/product_image/369/MEDIUM,https://beta.sellsa.co.za/unique-easy-cell-numbers/products/view/369,"UNIQUE 786 EASY CELL NUMBERS","350.0000 ZAR",,369
sellsa-370,"in stock",new,"Get unique 786 numbers,&nbsp; a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
&nbsp;

0786 66 22 44
0786 696 696
084 786 3020

	PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;

&nbsp;",https://beta.sellsa.co.za/image/product_image/370/MEDIUM,https://beta.sellsa.co.za/unique-786-easy-cell-numbers-1/products/view/370,"UNIQUE 786 EASY CELL NUMBERS!","500.0000 ZAR",,370
sellsa-371,"in stock",new,"Get unique 786 numbers,&nbsp; a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A PAIR FROM ANY OF THE NUMBERS BELOW:&nbsp;
&nbsp;
	084 786 2646
	084 786 2656
	084 786 3470
	084 786 3480
	084 786 5081
	084 786 5082
	084 786 7961
	084 786 7962
PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;
	",https://beta.sellsa.co.za/image/product_image/371/MEDIUM,https://beta.sellsa.co.za/unique-786-easy-cell-numbers-2/products/view/371,"UNIQUE 786 EASY CELL NUMBERS!","700.0000 ZAR",,371
sellsa-372,"in stock",new,"A&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to Vodacom, MTN, Cell C or Telkom Mobile depending on the number chosen.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
&nbsp;

	
		0633 133 660
		0633 888 220
		0633 99 22 79
		073 72 6666 3
		078 7 3333 01
		0788 53 44 99
		0630 6666 84
		063 23 22 44 1
		073 67 44445
		060 4444 675
		06 33 22 46 44
		0730 6666 36
		0780 29 88 29
		078 55 80 222
		060 666 8061
		063 75 4444 5
		0722 4141 88
		066 00 555 29
		066 188 6667
		0725 332 336
		07 99 11 67 11
		07 33 2 33 55 1
		0633 5 8888 7
		063 44 92 444
		063 227 2240
		073 853 0551
		078 345 5855
		064 99 44 8 99
		071 5 699 099
		076 099 7997
		079 555 88 64

	
PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;",https://beta.sellsa.co.za/image/product_image/372/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers/products/view/372,"UNIQUE EASY NUMBERS","300.0000 ZAR",,372
sellsa-373,"in stock",new,"A&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
&nbsp;

	06 333 60 30 2
	06 33 77 41 77
	071 7 9999 82
	07 33 677 355
	0738 3333 27
	0784 66 77 07
	063 33 22 99 8
	06 345 3333 7
	064 0000 979
	071 7777 268
	0732 944449
	0735 567 222
	073 98 999 44
	063 555 8055
	06 55 00 88 21
	073 18 00006
	0788 1 22 11 8
	0609 33 00 30
	072 98 55552
	076 82 44 111
	064 88 666 51
	064 999 1922
	066 14 222 44
	071 44 999 19
	072 532 33 44
	076 44 9 88 99
	0727 111 123
	
&nbsp;
PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;",https://beta.sellsa.co.za/image/product_image/373/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers-1/products/view/373,"UNIQUE EASY NUMBERS","350.0000 ZAR",,373
sellsa-374,"in stock",new,"a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
&nbsp;
060 44 9 88 66
060 559 66 44
063 06 222 44
063 1111 66 2
063 345 33 44
073 77 88 1 55
07 88 555 3 44
06 33 88 77 44
063 44 99 444
0731 22 66 22
073 77 33 1 99
073 88 32 66 1
073 99 55 1 99
07 88 77 0009
0718 7777 61
07 88888 653
064 922 0001
064 97 55 333
064 99 8 33 44
064 99999 76
066 1111 488
076 41 4444 9
079 33 99 22 6
0604 111 711
063 033 1313
0633 111 611
063 32 44 88
064 9555 443
060 44 11 0 44
&nbsp;
PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;",https://beta.sellsa.co.za/image/product_image/374/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers-2/products/view/374,"UNIQUE EASY NUMBERS","400.0000 ZAR",,374
sellsa-375,"in stock",new,"a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
0603 77 99 00
060 422 0200
060 433 22 00
063 2 11 22 66
06 3323 22 55
063 44 6666 1
0635 33 88 22
064 047 44 77
0717 222 322
073 44 35 222
0785 88 55 99
0714 333332
072 44 11 99 7
0794 55 44 11
0796 77 88 44
07 66 2222 18
076 8666606
076 33333 28
0638 11111 2
0799 8 77 555
&nbsp;
PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;
	",https://beta.sellsa.co.za/image/product_image/375/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers-3/products/view/375,"UNIQUE EASY NUMBERS","500.0000 ZAR",,375
sellsa-376,"in stock",new,"
	
		a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
		Brand new on pay as you go.
		Use it to simplify your business number and let people remember you easily.
		After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
		We will need a sim number from a new rica'd starter pack you can buy at any store
		We will handle to port request so no shipping will apply.
		
			
		&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
		063 1 222 1 66
		06 3332 11 22
		073 22 00 202
		0789 55 33 55
		063 22 999 44
		0734 666 557
		07 88 44 88 01
		064 999 911 2
		072 763 2222
		076 617 6666
		0798 2222 44
		07 99 33 0555
		063 93 22222
		076 443 5555
		&nbsp;
		PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;
		",https://beta.sellsa.co.za/image/product_image/376/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers-4/products/view/376,"UNIQUE EASY NUMBERS","600.0000 ZAR",,376
sellsa-377,"in stock",new,"a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
066 066 2299
060 555 444 2
071 00 999 66
073 444 9 555
0743 444 999
081 001 77 44
081 88 222 94
082 082 6519
0822 55 88 50
082 08 99 55 4
08 222 40 837
08 22 88 11 41
083 24444 03
08 3333 5172
083 345 5590
083 402 2223
083 6 8888 96

	PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;",https://beta.sellsa.co.za/image/product_image/377/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers-5/products/view/377,"UNIQUE EASY NUMBERS","1000.0000 ZAR",,377
sellsa-378,"in stock",new,"a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
084 23456 22
081 737 77 66
0835 999979
07 11 6666 11

	PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;",https://beta.sellsa.co.za/image/product_image/378/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers-6/products/view/378,"UNIQUE EASY NUMBERS","1500.0000 ZAR",,378
sellsa-379,"in stock",new,"a&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to MTN, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
0810 06 06 07
081 0666 006
0711 400000
064 666 000 6
066 066 66 22
0789 22 7777
072 066 0666
0810 222 999
&nbsp;
PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;
	",https://beta.sellsa.co.za/image/product_image/379/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers-7/products/view/379,"UNIQUE EASY NUMBERS","2000.0000 ZAR",,379
sellsa-380,"in stock",new,"A&nbsp;once in&nbsp;lifetime opportunity number to keep for life.
Brand new on pay as you go.
Use it to simplify your business number and let people remember you easily.
After purchase- we will need to port to Vodacom, Cell C or Telkom Mobile.
We will need a sim number from a new rica'd starter pack you can buy at any store
We will handle to port request so no shipping will apply.

	
&nbsp;SELECT A ONE FROM ANY OF THE NUMBERS BELOW:&nbsp;
063 0666660
063 88 11111
063 99 22222
&nbsp;
PLEASE MESSAGE ME REGARDING AVAILABILITY OF A NUMBER BEFORE PURCHASE&nbsp;
	",https://beta.sellsa.co.za/image/product_image/380/MEDIUM,https://beta.sellsa.co.za/unique-easy-numbers-8/products/view/380,"UNIQUE EASY NUMBERS","5000.0000 ZAR",,380
sellsa-939,"in stock",new,,https://beta.sellsa.co.za/image/product_image/939/MEDIUM,https://beta.sellsa.co.za/zanele-earrings/products/view/939,"Zanele earrings","200.0000 ZAR",,939
sellsa-2473,"in stock",new,"
	
		Necklaces Type: Pendant Necklaces&nbsp;&nbsp;
	
		Style: China-Miao&nbsp;&nbsp;
	
		Gender: Women's&nbsp;&nbsp;
	
		Occasion: Party&nbsp;&nbsp;
	
		Pendants-Themed: Heart, Love&nbsp;&nbsp;
	
		Necklaces Main Material: Fill&nbsp;&nbsp;
	
		Necklaces Main Stone Material: zinc alloy&nbsp;&nbsp;
	
		Holiday: Valentine's Day&nbsp;&nbsp;Halloween&nbsp;&nbsp;Easter&nbsp;&nbsp;Chirstmas&nbsp;&nbsp;Thanksgiving
Day&nbsp;&nbsp;
	
		Metal color : Silver Plated&nbsp;&nbsp;
	
		Main Stone Color : White&nbsp;&nbsp;
	
		Gem Color : silver&nbsp;
	
		Pendants Type : Slide&nbsp;&nbsp;
	
		Metals Type : Tin Alloy&nbsp;&nbsp;
	
		Length : 61cm&nbsp;&nbsp;
	
		Chain Type : Link Chain&nbsp;&nbsp;
	
		pattern: moon&nbsp;&nbsp;
	
		Necklace Type : Pendant Necklaces&nbsp;&nbsp;
",https://beta.sellsa.co.za/image/product_image/2473/MEDIUM,https://beta.sellsa.co.za/540mm-silver-necklaces-with-pendant/products/view/2473,"540mm silver Necklaces with Pendant","50.0000 ZAR",,2473
sellsa-2474,"in stock",new,"Bluetooth 4.0 Anti-lost Tracker Tag
		Attach this tracker tag to anything so you'll be alerted if it gets away from
you! Great for luggage, kids, pets, purses, wallets, valuables, and more!
		Download the eTracing app (available for free on Google Play store or the Apple
App Store) and follow the included instructions to pair the device with your
phone, tablet, or laptop.
		When activated, an alarm will sound whenever the tag goes out of range of your
device. The tag also works as a camera shutter so you can take pictures and
videos, and it's a GPS locator too!
		
		Features:
		&nbsp; &nbsp;Omnidirectional anti-lost alarm
		&nbsp; &nbsp;Keeps valuables within range
		&nbsp; &nbsp;Functions as selfie shutter
		&nbsp; &nbsp;Enables recording, GPS locating
		&nbsp; &nbsp;Loud beep of up to 20db
		&nbsp; &nbsp;Syncs with up to 8 items
		&nbsp; &nbsp;Suitable for wallet, car, kid, pet, bag, suitcase and other items
		
		Specifications:
		&nbsp; &nbsp;Bluetooth Version: Bluetooth 4.0
		&nbsp; &nbsp;Compatible with: iPhone4S and newer, iPad Mini, iTouch 5, iPad
3/4, iPad Air and Android devices with Bluetooth 4.0 (Android 4.3 and newer
system)
		&nbsp; &nbsp;Working Distance: 10m/33ft (open area )
		&nbsp; &nbsp;Battery: CR2032 coin lithium battery
		&nbsp; &nbsp;Standby Time: 6 month
		&nbsp; &nbsp;Power: 3V/3mAh
		&nbsp; &nbsp;Size: 3.1 x 5.2 x 1.2cm/1.22 x 2.05 x 0.47inch
		&nbsp; &nbsp;Weight: 0.31oz
		&nbsp; &nbsp;Available Colors: black 
		
		Package includes:
		1 x Bluetooth Tracker Tag
		1 x User Manual",https://beta.sellsa.co.za/image/product_image/2474/MEDIUM,https://beta.sellsa.co.za/mini-smart-finder-bluetooth-tracer-pet-child-gps-locator-tag-alarm-wallet-key-tracker/products/view/2474,"Mini Smart Finder Bluetooth Tracer Pet Child GPS Locator Tag Alarm Wallet Key Tracker","60.0000 ZAR",,2474
sellsa-2476,"in stock",new,"Action cricket balls.
Excellent quality",https://beta.sellsa.co.za/image/product_image/2476/MEDIUM,https://beta.sellsa.co.za/action-cricket-balls/products/view/2476,"Action cricket balls","200.0000 ZAR",,2476
sellsa-421,"in stock",new,"
Brand : Casio
Model : G-Shock
			Band Color: Black
			Case Color: Black
			MPN: GA100-1A1
			Case Finish: Matte
			Case Material: Resin
			Case Size: 55mm
			Watch Shape: Round
			Face Color: Black
			Band Material: Resin
			Water Resistance Rating: 200 m (20 ATM)
			Display: Analog, Digital
			Age Group: Adult

		

		
Features: 24-Hour Dial,
Alarm, Shock Resistant, World Time
		Gender: Men's
		Case Width: 50 mm
		Movement: Quartz (Battery)
		Water Resistant: 200 meters
		Style: Casual
&nbsp;",https://beta.sellsa.co.za/image/product_image/421/MEDIUM,https://beta.sellsa.co.za/casio-g-shock-mens-ga100-1a1/products/view/421,"Casio G-Shock Men's GA100-1A1 - FREE SHIPPING","1799.0000 ZAR",,421
sellsa-443,"in stock",new,"Zippo Lighters are suitable for gift giving in its environmentally friendly gift box and comes with a lifetime guarantee. For optimum performance, fill with Zippo premium lighter fluid(sold separately).",https://beta.sellsa.co.za/image/product_image/443/MEDIUM,https://beta.sellsa.co.za/jack-daniels-zippo-lighter/products/view/443,"Zippo Lighter : Jack Daniels - FREE SHIPPING","489.0000 ZAR",,443
sellsa-450,"in stock",new,,https://beta.sellsa.co.za/image/product_image/450/MEDIUM,https://beta.sellsa.co.za/zippo-lighter-old-no-7/products/view/450,"Zippo Lighter : Old No. 7 - FREE SHIPPING","499.0000 ZAR",,450
sellsa-451,"in stock",new,,https://beta.sellsa.co.za/image/product_image/451/MEDIUM,https://beta.sellsa.co.za/zippo-lighter-jack-daniels-bottle/products/view/451,"Zippo Lighter : Jack Daniels Bottle - FREE SHIPPING","499.0000 ZAR",,451
sellsa-452,"in stock",new,,https://beta.sellsa.co.za/image/product_image/452/MEDIUM,https://beta.sellsa.co.za/zippo-lighter-jd-matt-black/products/view/452,"Zippo Lighter : JD Matt Black - FREE SHIPPING","499.0000 ZAR",,452
sellsa-493,"in stock",new,,https://beta.sellsa.co.za/image/product_image/493/MEDIUM,https://beta.sellsa.co.za/mens-megir-black-leather-watch/products/view/493,"Men's MEGIR Black Leather Watch - FREE SHIPPING","499.0000 ZAR",,493
sellsa-9916,"in stock",new,"Takings it’s cues from the 1960’s architectural and automotive design, the Townsman has a clean, symmetrical style with it’s elegantly vaulted hands, two-eye chronographs and striking white dial.
&nbsp;

	
		
			
				Band Colour
				
					Silver
			
			
				Band Material
				
					Stainless Steel
			
			
				Band Type
				
					Bracelet
			
			
				Band Width
				
					22mm
			
			
				Bezel
				
					Fixed
			
			
				Case Material
				
					Stainless Steel
			
			
				Case Shape
				
					Round
			
			
				Case Size
				
					44mm
			
			
				Case Thickness
				
					12mm
			
			
				Dial Colour
				
					White
			
			
				Dial Marker
				
					Index
			
			
				Dial Type
				
					Analog
			
			
				Functions
				
					Chronograph, Hour, Minute, Second
			
			
				Movement
				
					Quartz
			
			
				Make
				
					Fossil
			
			
				Model
				
					FS5346
			
			
				Series
				
					Townsman
			
			
				Water Resistance
				
					50m
			
			
				Warranty
				
					1 year warranty
			
		
	
	",https://beta.sellsa.co.za/image/product_image/9916/MEDIUM,https://beta.sellsa.co.za/fossil-mens-townsman-fs5346/products/view/9916,"FOSSIL Men's Townsman FS5346 - FREE SHIPPING","1599.0000 ZAR",,9916
sellsa-9972,"in stock",new,"&nbsp;
	A flawless essential, an artful construction inspired by the girl with a certain charm, our signature Jacqueline puts a sophisticated spin on a classic.
	Its signature steel case couples with an easy-to-wear leather strap in this elegantly essential design.&nbsp;Classic design meets modern proportions.
&nbsp;

	
		
			
				Make
				
					Fossil
			
			
				Series
				
					Jacqueline
			
			
				Model
				
					ES3793
			
			
				Movement
				
					Quartz
			
			
				Dial Type
				
					Analog
			
			
				Dial Colour
				
					White
			
			
				Dial Marker
				
					Index
			
			
				Bezel
				
					Fixed
			
			
				Crown
				
					Pull/Push
			
			
				Case Size
				
					36mm
			
			
				Case Thickness
				
					7mm
			
			
				Case Material
				
					Stainless Steel
			
			
				Case Shape
				
					Round
			
			
				Band Type
				
					Strap
			
			
				Band Material
				
					Leather
			
			
				Band Colour
				
					White
			
			
				Band Length
				
					180mm
			
			
				Band Width
				
					14mm
			
			
				Clasp
				
					Tang
			
			
				Water Resistance
				
					30m
			
			
				Functions
				
					Calender
			
		
	
	",https://beta.sellsa.co.za/image/product_image/9972/MEDIUM,https://beta.sellsa.co.za/fossil-ladies-jacqueline-es3793-free-shipping/products/view/9972,"Fossil Ladies Jacqueline ES3793 - FREE SHIPPING","1499.0000 ZAR",,9972
sellsa-9973,"in stock",new,"
	
		
			Make
			
				Fossil
		
		
			Model
			
				ES4179
		
		
			Series
			
				Boyfriend
		
		
			Band Colour
			
				Beige
		
		
			Band Material
			
				Leather
		
		
			Band Type
			
				Strap
		
		
			Bezel
			
				Fixed
		
		
			Case Material
			
				Stainless Steel
		
		
			Case Shape
			
				Round
		
		
			Case Size
			
				38mm
		
		
			Dial Colour
			
				White
		
		
			Dial Marker
			
				Index
		
		
			Dial Type
			
				Analog
		
		
			Movement
			
				Quartz
		
		
			Warranty
			
				1 year warranty
		
		
			Water Resistance
			
				50m
		
	
",https://beta.sellsa.co.za/image/product_image/9973/MEDIUM,https://beta.sellsa.co.za/fossil-ladies-boyfriend-es4179/products/view/9973,"Fossil Ladies Boyfriend ES4179 - FREE SHIPPING","1399.0000 ZAR",,9973
sellsa-9974,"in stock",new,"
	
		
			Make
			
				Casio
		
		
			Series
			
				G-Shock
		
		
			Model
			
				GA100-MB
		
		
			Movement
			
				Quartz
		
		
			Dial Type
			
				Analog-Digital
		
		
			Dial Colour
			
				Black, Green
		
		
			Dial Marker
			
				Index
		
		
			Subdials
			
				1/1000sec Stopwatch, Countdown Timer, Hourly Time Signal
		
		
			Bezel
			
				Fixed
		
		
			Engine
			
				5081
		
		
			Case Size
			
				55mm x 51.2mm
		
		
			Case Thickness
			
				16.9mm
		
		
			Case Material
			
				Resin
		
		
			Case Shape
			
				Round
		
		
			Band Type
			
				Strap
		
		
			Band Material
			
				Resin
		
		
			Band Colour
			
				Black
		
		
			Clasp
			
				Tang
		
		
			Water Resistance
			
				200m
		
		
			Functions
			
				29 Timezones, 4 Daily Alarms
		
	
",https://beta.sellsa.co.za/image/product_image/9974/MEDIUM,https://beta.sellsa.co.za/casio-g-shock-ga100mb-1a-free-shipping/products/view/9974,"Casio G-Shock GA100MB-1A - FREE SHIPPING","1649.0000 ZAR",,9974
sellsa-9975,"in stock",new,"
	
		
			Clasp
			
				Jewelry
		
		
			Colour
			
				Gold-tone
		
		
			Chain Length
			
				650mm
		
		
			Charms
			
				Logo Engraved Key, Rhinestone G, Pave Rhinestone Padlock
		
	
",https://beta.sellsa.co.za/image/product_image/9975/MEDIUM,https://beta.sellsa.co.za/guess-key-charm-gold-tone-free-shipping/products/view/9975,"GUESS Key & Charm Gold-Tone - FREE SHIPPING","549.0000 ZAR",,9975
sellsa-9976,"in stock",new,"
	
		
			Clasp
			
				Jewelry
		
		
			Colour
			
				Silver-tone
		
		
			Chain Length
			
				650mm
		
		
			Charms
			
				Logo Engraved Key, Rhinestone G, Pave Rhinestone Padlock
		
	
",https://beta.sellsa.co.za/image/product_image/9976/MEDIUM,https://beta.sellsa.co.za/guess-key-charm-silver-tone-free-shipping/products/view/9976,"GUESS Key & Charm Silver-Tone - FREE SHIPPING","549.0000 ZAR",,9976
